comment,tokens
ھاتھ,['ھاتھ']
مجھے پیچھے بیٹھاٶ اور لونگ ڈرائیو پر چلو,"['مجھے', 'پیچھے', 'بیٹھاٶ', 'اور', 'لونگ', 'ڈرائیو', 'پر', 'چلو']"
اب لیگیوں نے کہنا ہے کہ تحریک لبیک کے ووٹرز پہلے ن لیگ کے ووٹرز تھے,"['اب', 'لیگیوں', 'نے', 'کہنا', 'ہے', 'کہ', 'تحریک', 'لبیک', 'کے', 'ووٹرز', 'پہلے', 'ن', 'لیگ', 'کے', 'ووٹرز', 'تھے']"
خوبصورت آنٹی,"['خوبصورت', 'آنٹی']"
بس کر پگلی رالائیے گئی کیا,"['بس', 'کر', 'پگلی', 'رالائیے', 'گئی', 'کیا']"
تینوں پولیس بھرتی کے لئے اہل ہیں,"['تینوں', 'پولیس', 'بھرتی', 'کے', 'لئے', 'اہل', 'ہیں']"
س ر کی شدید کمی ہونے کے باوجود ا س ہمت پر داد تو بنتی ہے,"['س', 'ر', 'کی', 'شدید', 'کمی', 'ہو', 'نے', 'کے', 'باوجود', 'ا', 'س', 'ہمت', 'پر', 'داد', 'تو', 'بنتی', 'ہے']"
اچھی کوشش,"['اچھی', 'کوشش']"
باپ بیٹی کو اس شو میں خوش آمدید\nتبدیلی آگئی ہے,"['باپ', 'بیٹی', 'کو', 'اس', 'شو', 'میں', 'خوش', 'آمدید', 'تبدیلی', 'آگئی', 'ہے']"
ماشاءاللہ,['ماشاءاللہ']
خوبصورت,['خوبصورت']
ماشاءاللہ آپ کا انداز بہت ہی اچھا ہے,"['ماشاءاللہ', 'آپ', 'کا', 'انداز', 'بہت', 'ہی', 'اچھا', 'ہے']"
ماشااللہ,['ماشااللہ']
آج کل یہ خصم لب رہی ہے ہاۓ سردیاں,"['آج', 'کل', 'یہ', 'خصم', 'لب', 'ر', 'ہی', 'ہے', 'ہاۓ', 'سردیاں']"
بہت خوبصورت ماشاءاللہ,"['بہت', 'خوبصورت', 'ماشاءاللہ']"
یہ عائشہ ناز کی بہن ہے,"['یہ', 'عائشہ', 'نا', 'ز', 'کی', 'بہن', 'ہے']"
اللہ معاف کرے,"['اللہ', 'معاف', 'کرے']"
زارا سلام ہو تم کو,"['زارا', 'سلام', 'ہو', 'تم', 'کو']"
یہ کیا ہے بھائی,"['یہ', 'کیا', 'ہے', 'بھائی']"
کون ہے یہ,"['کون', 'ہے', 'یہ']"
اسلام علیکم آپ بہت خوب صورت ہے اور سخت کام کرنے والی الل ہ آپ کو اور کامیاب کرے آمین,"['اسلام', 'علیکم', 'آپ', 'بہت', 'خوب', 'صورت', 'ہے', 'اور', 'سخت', 'کام', 'کر', 'نے', 'والی', 'الل', 'ہ', 'آپ', 'کو', 'اور', 'کامیاب', 'کرے', 'آمین']"
ماشاءاللہ,['ماشاءاللہ']
ہر کسی کی شادی ہوتی ہے اس میں اتنا شرمانے والی کیا بات ہے,"['ہر', 'کسی', 'کی', 'شادی', 'ہوتی', 'ہے', 'اس', 'میں', 'اتنا', 'شرما', 'نے', 'والی', 'کیا', 'بات', 'ہے']"
اس کے بھی ہاتھ پیلے کر دیتے ایمن کے ساتھ ہی,"['اس', 'کے', 'بھی', 'ہاتھ', 'پیلے', 'کر', 'دیتے', 'ایمن', 'کے', 'ساتھ', 'ہی']"
کربلا جا کر مسکرانا آنسو تھم جاتے ھیں,"['کربلا', 'جا', 'کر', 'مسکرانا', 'آنسو', 'تھم', 'جاتے', 'ھیں']"
تم لیٹ ہو گئی ہو عامر لیاقت نے بیٹی کی عمر والی لڑکی سے شادی کر لی ہے,"['تم', 'لیٹ', 'ہو', 'گئی', 'ہو', 'عامر', 'لیاقت', 'نے', 'بیٹی', 'کی', 'عمر', 'والی', 'لڑکی', 'سے', 'شادی', 'کر', 'لی', 'ہے']"
دولہے کو مزہ آۓ یا نہ آۓ دیکھنے والوں کو بہت مزہ آرہا ہے,"['دولہے', 'کو', 'مزہ', 'آۓ', 'یا', 'نہ', 'آۓ', 'دیکھ', 'نے', 'والوں', 'کو', 'بہت', 'مزہ', 'آرہا', 'ہے']"
بھائ یہ دوپٹہ سر پہ اوڑھ لیتے تو سچ میں زیادہ اچھا لگتا,"['بھائ', 'یہ', 'دوپٹہ', 'سر', 'پہ', 'اوڑھ', 'لیتے', 'تو', 'سچ', 'میں', 'زیادہ', 'اچھا', 'لگتا']"
تم صبح تارہ لگتے ہو اک نور کادھارہ لگتے ہو یہ پھول چراغ تم سے تم چاند ستارہ لگتے ہو,"['تم', 'صبح', 'تارہ', 'لگتے', 'ہو', 'اک', 'نور', 'کادھارہ', 'لگتے', 'ہو', 'یہ', 'پھول', 'چراغ', 'تم', 'سے', 'تم', 'چاند', 'ستارہ', 'لگتے', 'ہو']"
کیا آپ کو پہلا ج کے لے بنائی گئ ویڈیو پسند نہیں آئی اقرار بھائی جواب ضرور دیں,"['کیا', 'آپ', 'کو', 'پہلا', 'ج', 'کے', 'لے', 'بنائی', 'گئ', 'ویڈیو', 'پسند', 'نہیں', 'آئی', 'اقرار', 'بھائی', 'جواب', 'ضرور', 'دیں']"
چس لو پاکستان دے پیسے تے,"['چس', 'لو', 'پاکستان', 'دے', 'پی', 'سے', 'تے']"
واہ کیا بات ہے دلکشی کی نازیہ بوڑھی ہو گئی ہو تب بھی کشش ہے,"['واہ', 'کیا', 'بات', 'ہے', 'دلکشی', 'کی', 'نا', 'زیہ', 'بوڑھی', 'ہو', 'گئی', 'ہو', 'تب', 'بھی', 'کشش', 'ہے']"
بہت ہی عمدہ,"['بہت', 'ہی', 'عمدہ']"
پاکستانی قوم باشعور ہے اس گھٹیا آدمی کی اندھی تقلید نہیں کرے گی انشاء الل ه,"['پاکستانی', 'قوم', 'باشعور', 'ہے', 'اس', 'گھٹیا', 'آدمی', 'کی', 'اندھی', 'تقلید', 'نہیں', 'کرے', 'گی', 'انشاء', 'الل', 'ه']"
یہ ہی چل رہا ہے آج کل لفافہ مارکیٹ میں سمجھ تو گۓہوگے,"['یہ', 'ہی', 'چل', 'رہا', 'ہے', 'آج', 'کل', 'لفافہ', 'مارکیٹ', 'میں', 'سمجھ', 'تو', 'گۓہوگے']"
پھول بھی ہیں بہت حسیں مگر ہم پھولوں سے بھی خوبصورت ہیں,"['پھول', 'بھی', 'ہیں', 'بہت', 'حسیں', 'مگر', 'ہم', 'پھولوں', 'سے', 'بھی', 'خوبصورت', 'ہیں']"
کبھی آو نا حویلی پہ,"['ک', 'بھی', 'آو', 'نا', 'حویلی', 'پہ']"
بٹ صاحب میں سمجھتا ہوں آپکو اتنا خوبصورت نہیں ہونا چاہیے میرے جیسا بندا جس کو صرف چائے پسند ہے اس دنیا میں وہ بھی آپکی آنکھیں دینے سے ذرا پرہیز کر رہا ہے,"['بٹ', 'صاحب', 'میں', 'سمجھتا', 'ہوں', 'آپ', 'کو', 'اتنا', 'خوبصورت', 'نہیں', 'ہونا', 'چاہیے', 'میرے', 'جیسا', 'بندا', 'جس', 'کو', 'صرف', 'چائے', 'پسند', 'ہے', 'اس', 'دنیا', 'میں', 'وہ', 'بھی', 'آپکی', 'آنکھیں', 'دی', 'نے', 'سے', 'ذرا', 'پرہیز', 'کر', 'رہا', 'ہے']"
بہت مبارک ایمن خان کو,"['بہت', 'مبارک', 'ایمن', 'خان', 'کو']"
اتنی خوبصورت لڑکی اپنے پکچراپلوڈ کرتی ہے کم سے کم ان کا ٹوئٹر اکاؤنٹ توشیر کر دیتے پا کہ ہم بھی ان کو فالو کرتے کچھ دیکھتے ان کی فوٹو مور,"['اتنی', 'خوبصورت', 'لڑکی', 'اپ', 'نے', 'پکچراپلوڈ', 'کرتی', 'ہے', 'کم', 'سے', 'کم', 'ان', 'کا', 'ٹوئٹر', 'اکاؤنٹ', 'توشیر', 'کر', 'دیتے', 'پا', 'کہ', 'ہم', 'بھی', 'ان', 'کو', 'فالو', 'کرتے', 'کچھ', 'دیکھتے', 'ان', 'کی', 'فوٹو', 'مور']"
دعا میں تو آپ لوگوں کے لیے بہت دعا کرتی ہوں صبع شام ہر روز اللہ تعالی پتہ نہیں کب قبول کرے گے لکین مجھے اپنے رب پہ ہورا یقین ہے اگر اب میری دعا قبول نہیں ہوہی تو روزہ قیامت یہ ہی دعاہیں آپ لوگوں کے کام آہیں گی اللہ تعالی آپ لوگوں کو صبر دے ہم لوگ رب کی مصلیت نہیں جان سکتے,"['دعا', 'میں', 'تو', 'آپ', 'لوگوں', 'کے', 'لیے', 'بہت', 'دعا', 'کرتی', 'ہوں', 'صبع', 'شام', 'ہر', 'روز', 'اللہ', 'تعالی', 'پتہ', 'نہیں', 'کب', 'قبول', 'کرے', 'گے', 'لکین', 'مجھے', 'اپ', 'نے', 'رب', 'پہ', 'ہورا', 'یقین', 'ہے', 'اگر', 'اب', 'میری', 'دعا', 'قبول', 'نہیں', 'ہو', 'ہی', 'تو', 'روزہ', 'قیامت', 'یہ', 'ہی', 'دعاہیں', 'آپ', 'لوگوں', 'کے', 'کام', 'آہیں', 'گی', 'اللہ', 'تعالی', 'آپ', 'لوگوں', 'کو', 'صبر', 'دے', 'ہم', 'لوگ', 'رب', 'کی', 'مصلیت', 'نہیں', 'جان', 'سکتے']"
اس کا برج کیا ہے,"['اس', 'کا', 'برج', 'کیا', 'ہے']"
جیو سرکار عید مبارک ھو,"['جیو', 'سرکار', 'عید', 'مبارک', 'ھو']"
چوڑیاں,['چوڑیاں']
ٹی وی پر واپسی کب ھے,"['ٹی', 'وی', 'پر', 'واپسی', 'کب', 'ھے']"
یہ تصور کل کی ہے,"['یہ', 'تصور', 'کل', 'کی', 'ہے']"
ماشاءاللہ آپ بہت اچھی پیاری خوبصورت ہو اللہ آپ,"['ماشاءاللہ', 'آپ', 'بہت', 'اچھی', 'پیاری', 'خوبصورت', 'ہو', 'اللہ', 'آپ']"
ماشاءاللہ,['ماشاءاللہ']
کیا ہوا,"['کیا', 'ہوا']"
حفظہ چوہدری جہاں بھی جاتی ہے چھا جاتی ہے اپنی انداز بیان اور خوبصورتی کی وجہ سے,"['حفظہ', 'چوہدری', 'جہاں', 'بھی', 'جاتی', 'ہے', 'چھا', 'جاتی', 'ہے', 'اپنی', 'انداز', 'بیان', 'اور', 'خوبصورتی', 'کی', 'وجہ', 'سے']"
یہ کہاں کی ٹیکسی ہے,"['یہ', 'کہاں', 'کی', 'ٹیکسی', 'ہے']"
قسم لے لو یہ کہیں سے بھی گلیمرس نہیں,"['قسم', 'لے', 'لو', 'یہ', 'کہیں', 'سے', 'بھی', 'گلیمرس', 'نہیں']"
سدا کی بیمار لگتی ہے بیچاری,"['سدا', 'کی', 'بیمار', 'لگتی', 'ہے', 'بیچاری']"
ماشااللہ,['ماشااللہ']
اللہ پاک آپ کو صحت و تندرستی عطا فرمائے آمین ثم آمین نظر بد سے بچائے آمین ثم آمین,"['اللہ', 'پاک', 'آپ', 'کو', 'صحت', 'و', 'تندرستی', 'عطا', 'فرمائے', 'آمین', 'ثم', 'آمین', 'نظر', 'بد', 'سے', 'بچائے', 'آمین', 'ثم', 'آمین']"
ارے نام تو بتاؤ,"['ارے', 'نا', 'م', 'تو', 'بتاؤ']"
بہت افسوس کی بات ہے اور آپ خود سمجھا,"['بہت', 'افسوس', 'کی', 'بات', 'ہے', 'اور', 'آپ', 'خود', 'سمجھا']"
وہاں پردہ اور یہاں کپڑے اتارنے کو بے تاب,"['وہاں', 'پردہ', 'اور', 'یہاں', 'کپڑے', 'اتار', 'نے', 'کو', 'بے', 'تاب']"
ہماری ایکٹریس کے غیر ملک میں جا کہ سردی ہوتے ہوئے بھی کپڑے کم ہوجاتے ہیں ادھر کیا موت پڑتی ہے,"['ہماری', 'ایکٹریس', 'کے', 'غیر', 'ملک', 'میں', 'جا', 'کہ', 'سردی', 'ہوتے', 'ہوئے', 'بھی', 'کپڑے', 'کم', 'ہوجاتے', 'ہیں', 'ادھر', 'کیا', 'موت', 'پڑتی', 'ہے']"
ماشاء اللہ مولا سلامت رکھے ہمیں بھی اپنی دعاؤں میں یاد رکھنا,"['ماشاء', 'اللہ', 'مولا', 'سلامت', 'رکھے', 'ہمیں', 'بھی', 'اپنی', 'دعاؤں', 'میں', 'یاد', 'رکھنا']"
متعہ کیا ہوتا ہے تفصیل سے بتانا,"['متعہ', 'کیا', 'ہوتا', 'ہے', 'تفصیل', 'سے', 'بتانا']"
مدیحہ نقوی ہم کو دعاؤں میں یاد رکھنا,"['مدیحہ', 'نقوی', 'ہم', 'کو', 'دعاؤں', 'میں', 'یاد', 'رکھنا']"
ماشااللہ دعائیں کی ہیں نا ہمارے لیے بھی,"['ماشااللہ', 'دعائیں', 'کی', 'ہیں', 'نا', 'ہمارے', 'لیے', 'بھی']"
ماشاء اللہ,"['ماشاء', 'اللہ']"
ماشاءاللہ,['ماشاءاللہ']
اگر ایسا تھا تو ویڈیو کیوں نہیں بنائی گئی,"['اگر', 'ایسا', 'تھا', 'تو', 'ویڈیو', 'کیوں', 'نہیں', 'بنائی', 'گئی']"
تین عورتیں تین کہانیاں,"['تین', 'عورتیں', 'تین', 'کہانیاں']"
اگر واقعی وہاں سے بوتل ملی ہے تو اس بات میں رتی برابر بھی شک کی گنجائش بہی کہ یہ حضرت کو بدنام کرنے کی انتہائ بھونڈی کوشش ہے جس پر کوئ عقل کا اندھا ہی یقین کرے گا,"['اگر', 'واقعی', 'وہاں', 'سے', 'بوتل', 'ملی', 'ہے', 'تو', 'اس', 'بات', 'میں', 'رتی', 'برابر', 'بھی', 'شک', 'کی', 'گنجائش', 'ب', 'ہی', 'کہ', 'یہ', 'حضرت', 'کو', 'بد', 'نا', 'م', 'کر', 'نے', 'کی', 'انتہائ', 'بھونڈی', 'کوشش', 'ہے', 'جس', 'پر', 'کوئ', 'عقل', 'کا', 'اندھا', 'ہی', 'یقین', 'کرے', 'گا']"
خ وب پبلسٹی ہو رہی ہے بساط دل کی میں ابھی تک ایک قسط بھی نہیں دیکھ سکا آج کل منور صاحب کا ڈرامہ تاوان باقاعدگی سے دیکھ رہا ہوں بہت ضعیف ہو گئے ہیں الله انہیں سلامت رکھے,"['خ', 'وب', 'پبلسٹی', 'ہو', 'ر', 'ہی', 'ہے', 'بساط', 'دل', 'کی', 'میں', 'ا', 'بھی', 'تک', 'ایک', 'قسط', 'بھی', 'نہیں', 'دیکھ', 'سکا', 'آج', 'کل', 'منور', 'صاحب', 'کا', 'ڈرامہ', 'تاوان', 'باقاعدگی', 'سے', 'دیکھ', 'رہا', 'ہوں', 'بہت', 'ضعیف', 'ہو', 'گئے', 'ہیں', 'الله', 'انہیں', 'سلامت', 'رکھے']"
واہ,['واہ']
ماشاءاللہ ماشاءاللہ ماشاءاللہ,"['ماشاءاللہ', 'ماشاءاللہ', 'ماشاءاللہ']"
ارضی خان نے پوچھا\nاس نے پوچھا کب تک پیار کرو گے\nمیں نے کہا جب تک بھٹو زندہ ہے,"['ارضی', 'خان', 'نے', 'پوچھا', 'اس', 'نے', 'پوچھا', 'کب', 'تک', 'پیار', 'کرو', 'گے', 'میں', 'نے', 'کہا', 'جب', 'تک', 'بھٹو', 'زندہ', 'ہے']"
پاکستانی ایشوریا رائے,"['پاکستانی', 'ایشوریا', 'رائے']"
آہستہ آہستہ کھل رہے ہیں راز حسن کے,"['آہستہ', 'آہستہ', 'کھل', 'رہے', 'ہیں', 'راز', 'حسن', 'کے']"
کمال ہے اب کربلا میں بھی فوٹوشاپ,"['کمال', 'ہے', 'اب', 'کربلا', 'میں', 'بھی', 'فوٹوشاپ']"
کون ہے یہ,"['کون', 'ہے', 'یہ']"
بہترین تلفظ بہترین ادائیگی,"['بہترین', 'تلفظ', 'بہترین', 'ادائیگی']"
محترمہ تسبیح بھی کرتی رہی ہیں ٹیم پاکستان کے لئے,"['محترمہ', 'تسبیح', 'بھی', 'کرتی', 'ر', 'ہی', 'ہیں', 'ٹیم', 'پاکستان', 'کے', 'لئے']"
میرا دل کر رہا ہے کہ تمہاری دونوں جیبوں میں ہاتھ ڈالوں اور,"['میرا', 'دل', 'کر', 'رہا', 'ہے', 'کہ', 'تمہاری', 'دونوں', 'جیبوں', 'میں', 'ہاتھ', 'ڈالوں', 'اور']"
نیوز چینل چھوڑ کر رکشہ چلنا شروع کر دیا,"['نیوز', 'چینل', 'چھوڑ', 'کر', 'رکشہ', 'چلنا', 'شروع', 'کر', 'دیا']"
بس کندھے پر ایک سافے کی کمی ہے,"['بس', 'کندھے', 'پر', 'ایک', 'سافے', 'کی', 'کمی', 'ہے']"
شٹ پنوتی,"['شٹ', 'پنوتی']"
چھا گئے بھئی,"['چھا', 'گئے', 'بھئی']"
اختلاف رائے برداشت کرنے کی ہمت ہونی چاہیے\nیہ کوئی انکا گھر نہیں ہے لوگ کمنٹ کرتے ہیں یوں نہیں ہوتا کی انکے فضول گانوں پہ انکی شکل کے مطابق ہم واہ واہ کریں\nیہ بھول گئی آفریں کی کامیابی اور انہیں لوگوں کی محبت اوقات بھول گئے,"['اختلاف', 'رائے', 'برداشت', 'کر', 'نے', 'کی', 'ہمت', 'ہونی', 'چاہیے', 'یہ', 'کوئی', 'انکا', 'گھر', 'نہیں', 'ہے', 'لوگ', 'کمنٹ', 'کرتے', 'ہیں', 'یوں', 'نہیں', 'ہوتا', 'کی', 'انکے', 'فضول', 'گانوں', 'پہ', 'انکی', 'شکل', 'کے', 'مطابق', 'ہم', 'واہ', 'واہ', 'کریں', 'یہ', 'بھول', 'گئی', 'آفریں', 'کی', 'کامیابی', 'اور', 'انہیں', 'لوگوں', 'کی', 'محبت', 'اوقات', 'بھول', 'گئے']"
کیوٹی,['کیوٹی']
چاند چہرہ,"['چاند', 'چہرہ']"
ماشاءاللہ,['ماشاءاللہ']
یہ آئمہ بیگ کی کچھ لگتی ہے کیا,"['یہ', 'آئمہ', 'بیگ', 'کی', 'کچھ', 'لگتی', 'ہے', 'کیا']"
کتنے آدمی تھے,"['کت', 'نے', 'آدمی', 'تھے']"
گورے گورے مکھڑے پہ کالا کالا چشمہ,"['گورے', 'گورے', 'مکھڑے', 'پہ', 'کالا', 'کالا', 'چشمہ']"
کم از کم ایک کلو اور دو چھٹانک چٹا پاؤڈر استعمال ہوا ہے کیا یہ دہشت گردی نہیں,"['کم', 'از', 'کم', 'ایک', 'کلو', 'اور', 'دو', 'چھٹانک', 'چٹا', 'پاؤڈر', 'استعمال', 'ہوا', 'ہے', 'کیا', 'یہ', 'دہشت', 'گردی', 'نہیں']"
ماشااللہ,['ماشااللہ']
نماز عشق کریں گے ادا مدینے میں,"['نماز', 'عشق', 'کریں', 'گے', 'ادا', 'مدی', 'نے', 'میں']"
کیا بات ہے,"['کیا', 'بات', 'ہے']"
سدا سلامت رہیں آپ بھی اور آپ کی مسکراہٹ بھی,"['سدا', 'سلامت', 'رہیں', 'آپ', 'بھی', 'اور', 'آپ', 'کی', 'مسکراہٹ', 'بھی']"
ہر فن مولا پہلاج,"['ہر', 'فن', 'مولا', 'پہلاج']"
خواجہ سرا سعد رفیق پیپلزپارٹی کو اپنے باپ کا قاتل کہتا تھا\n\nاور آج نون لیگ اور پیپلزپارٹی ایک ہی سکے کے دو رخ ثابت ہوئےاور سعد رفیق ووٹ کے لیے اپنے باپ کے قاتلوں کے بوٹ چاٹ رہا ہے,"['خواجہ', 'سرا', 'سعد', 'رفیق', 'پیپلزپارٹی', 'کو', 'اپ', 'نے', 'باپ', 'کا', 'قاتل', 'کہتا', 'تھا', 'اور', 'آج', 'نون', 'لیگ', 'اور', 'پیپلزپارٹی', 'ایک', 'ہی', 'سکے', 'کے', 'دو', 'رخ', 'ثابت', 'ہوئےاور', 'سعد', 'رفیق', 'ووٹ', 'کے', 'لیے', 'اپ', 'نے', 'باپ', 'کے', 'قاتلوں', 'کے', 'بوٹ', 'چاٹ', 'رہا', 'ہے']"
مبارک ہو بہت بہت مبارک ہو,"['مبارک', 'ہو', 'بہت', 'بہت', 'مبارک', 'ہو']"
پیسوں کے چکر میں ہر سے مزے نہ لوٹا کرو,"['پیسوں', 'کے', 'چکر', 'میں', 'ہر', 'سے', 'مزے', 'نہ', 'لوٹا', 'کرو']"
اگر یہ تمہارا باپ نہیں ہے تو اسے جلد سے جلد شادی کر لو,"['اگر', 'یہ', 'تمہارا', 'باپ', 'نہیں', 'ہے', 'تو', 'ا', 'سے', 'جلد', 'سے', 'جلد', 'شادی', 'کر', 'لو']"
جس کا باپ ہیں جو اس طرح گلے مل رہے ہیں,"['جس', 'کا', 'باپ', 'ہیں', 'جو', 'اس', 'طرح', 'گلے', 'مل', 'رہے', 'ہیں']"
کس نے آپ کو دیوار کے ساتھ لگا دیا,"['کس', 'نے', 'آپ', 'کو', 'دیوار', 'کے', 'ساتھ', 'لگا', 'دیا']"
پوز اچھا ھے,"['پوز', 'اچھا', 'ھے']"
شہزاد,['شہزاد']
باجی ٹرائی روم کو تو بخش دو,"['باجی', 'ٹرائی', 'روم', 'کو', 'تو', 'بخش', 'دو']"
ماشاءاللہ,['ماشاءاللہ']
اللہ تعالی منزلیں آسان فرمائے,"['اللہ', 'تعالی', 'منزلیں', 'آسان', 'فرمائے']"
باس اپنے باس کے پاس,"['باس', 'اپ', 'نے', 'باس', 'کے', 'پاس']"
دنیا میں ہی جنت,"['دنیا', 'میں', 'ہی', 'جنت']"
اور لائیک کرنے سے پہلے دیکھ تو لیں,"['اور', 'لا', 'ئیک', 'کر', 'نے', 'سے', 'پہلے', 'دیکھ', 'تو', 'لیں']"
انا للہ و انا الیہ راجعون,"['انا', 'للہ', 'و', 'انا', 'الیہ', 'راجعون']"
انا للہ و انا الیہ راجعون,"['انا', 'للہ', 'و', 'انا', 'الیہ', 'راجعون']"
تم کون ہو,"['تم', 'کون', 'ہو']"
جھومر,['جھومر']
بہت پیارا,"['بہت', 'پیارا']"
چمک رھی ھو,"['چمک', 'رھی', 'ھو']"
ویلکم مدیحہ نقوی,"['ویلکم', 'مدیحہ', 'نقوی']"
کل میں نے پیارے افضل کی دیکھی یقین مانیں جی ساری رات خواب میں افضل فرخ رقیہ یاسمین عارفہ شیخ ابراھیم لبنہ اور مولوی انکل ڈراتے رہے,"['کل', 'میں', 'نے', 'پیارے', 'افضل', 'کی', 'دیکھی', 'یقین', 'مانیں', 'جی', 'ساری', 'رات', 'خواب', 'میں', 'افضل', 'فرخ', 'رقیہ', 'یاسمین', 'عارفہ', 'شیخ', 'ابراھیم', 'لبنہ', 'اور', 'مولوی', 'انکل', 'ڈراتے', 'رہے']"
اللہ نیک اولاد دیں امین,"['اللہ', 'نیک', 'اولاد', 'دیں', 'امین']"
وہ بچ ی جو بڑا ہونے کا نام نہیں لے رہی,"['وہ', 'بچ', 'ی', 'جو', 'بڑا', 'ہو', 'نے', 'کا', 'نا', 'م', 'نہیں', 'لے', 'ر', 'ہی']"
دھماکہ خیز سٹائل,"['دھماکہ', 'خیز', 'سٹائل']"
ماہ و میر,"['ماہ', 'و', 'میر']"
اس نے ہمیشہ اسی طرح ینگ ہی رہنا ہے,"['اس', 'نے', 'ہمیشہ', 'اسی', 'طرح', 'ینگ', 'ہی', 'رہنا', 'ہے']"
بہت خوب صورت مایا,"['بہت', 'خوب', 'صورت', 'مایا']"
کارٹون,['کارٹون']
عورت کو نگا کرنا بھی کوئ ڈیزائن ہے,"['عورت', 'کو', 'نگا', 'کرنا', 'بھی', 'کوئ', 'ڈیزائن', 'ہے']"
ظالما چائے پلا دے,"['ظالما', 'چائے', 'پلا', 'دے']"
کچھ بہت جذباتی اور الگ سا پروجیکٹ لگ رہا سر آپکا یہ کوٸی منٹو جیسا کردار ہے کیا یہ بھی,"['کچھ', 'بہت', 'جذباتی', 'اور', 'الگ', 'سا', 'پروجیکٹ', 'لگ', 'رہا', 'سر', 'آپکا', 'یہ', 'کوٸی', 'منٹو', 'جیسا', 'کردار', 'ہے', 'کیا', 'یہ', 'بھی']"
عمران خان\nجب ایسے بھی برا\nاور ویسے بھی برا\n\nخان صاحب اس بدمعاشیہ کو ایسا سبق دیں کہ انکی نسلیں گنجی پیدا ھوں فواد چوھدری صاحب الل ہ آپکو خوش رکھے اس بدمعاشیہ کو اور لگا کر زلیل کریں یہ اسی قابل ھیں,"['عمران', 'خان', 'جب', 'ای', 'سے', 'بھی', 'برا', 'اور', 'وی', 'سے', 'بھی', 'برا', 'خان', 'صاحب', 'اس', 'بد', 'معاشیہ', 'کو', 'ایسا', 'سبق', 'دیں', 'کہ', 'انکی', 'نسلیں', 'گنجی', 'پیدا', 'ھوں', 'فواد', 'چوھدری', 'صاحب', 'الل', 'ہ', 'آپ', 'کو', 'خوش', 'رکھے', 'اس', 'بد', 'معاشیہ', 'کو', 'اور', 'لگا', 'کر', 'زلیل', 'کریں', 'یہ', 'اسی', 'قابل', 'ھیں']"
بیوٹی فل,"['بیوٹی', 'فل']"
امیرو کی اور غریبوں کی انوشکا میں فرک تلاش کرے,"['امیرو', 'کی', 'اور', 'غریبوں', 'کی', 'انوشکا', 'میں', 'فرک', 'تلاش', 'کرے']"
ماشاءاللہ ماشاءاللہ ماشاءاللہ باس ود فیملی,"['ماشاءاللہ', 'ماشاءاللہ', 'ماشاءاللہ', 'باس', 'ود', 'فیملی']"
اوپر سے اسلامی بہن نیچے سے یورپی سسٹر,"['اوپر', 'سے', 'اسلامی', 'بہن', 'نیچے', 'سے', 'یورپی', 'سسٹر']"
عینک زرہ بھی نہیں جچ رہی,"['عینک', 'زرہ', 'بھی', 'نہیں', 'جچ', 'ر', 'ہی']"
کو ڑے لگدے پئے,"['کو', 'ڑے', 'لگدے', 'پئے']"
پاکستان,['پاکستان']
یہ ہے کون,"['یہ', 'ہے', 'کون']"
آدھے کیک پہ اس عورت نے شور نہیں مچایا کیا,"['آدھے', 'کیک', 'پہ', 'اس', 'عورت', 'نے', 'شور', 'نہیں', 'مچایا', 'کیا']"
رابعہ آپ کو بہت بہت مبارک ہو,"['رابعہ', 'آپ', 'کو', 'بہت', 'بہت', 'مبارک', 'ہو']"
اور یہ گلاس,"['اور', 'یہ', 'گلاس']"
پاکستانی کیا ایک دوسرے سے مل نہيں سکتے کیا انکی پرسنل لائف نہيں ہے,"['پاکستانی', 'کیا', 'ایک', 'دوسرے', 'سے', 'مل', 'نہيں', 'سکتے', 'کیا', 'انکی', 'پرسنل', 'لا', 'ئف', 'نہيں', 'ہے']"
او بے حس لوگو آج عاشورہ کے دن کا تو احترام کر لو کم از کم کچھ خدا کا خوف کر لو ایسی بیہودہ تصویریں مت پوسٹ کرو کیا منہ دکھاؤ گے خدا کو اور اسکے رسول کو,"['او', 'بے', 'حس', 'لوگو', 'آج', 'عاشورہ', 'کے', 'دن', 'کا', 'تو', 'احترام', 'کر', 'لو', 'کم', 'از', 'کم', 'کچھ', 'خدا', 'کا', 'خوف', 'کر', 'لو', 'ایسی', 'بیہودہ', 'تصویریں', 'مت', 'پوسٹ', 'کرو', 'کیا', 'منہ', 'دکھاؤ', 'گے', 'خدا', 'کو', 'اور', 'اسکے', 'رسول', 'کو']"
بھائ شاہ محدود پتہ کرو کچھ رہ تو نہیں گیا واپس جا کہ تو سرف پانی کی بوتل اور بسکٹ ہی ملنے ہیں فواد چودھری,"['بھائ', 'شاہ', 'محدود', 'پتہ', 'کرو', 'کچھ', 'رہ', 'تو', 'نہیں', 'گیا', 'واپس', 'جا', 'کہ', 'تو', 'سرف', 'پانی', 'کی', 'بوتل', 'اور', 'بسکٹ', 'ہی', 'مل', 'نے', 'ہیں', 'فواد', 'چودھری']"
یہ بڑے کرم کے ہیں فیصلے یہ بڑے نصیب کی بات ہے,"['یہ', 'بڑے', 'کرم', 'کے', 'ہیں', 'فیصلے', 'یہ', 'بڑے', 'نصیب', 'کی', 'بات', 'ہے']"
